distance,soundIntensity
3,44.3770428385
3,44.3770428385
3,45.7616610423
3,44.8499978772
3,46.8651568461
3,46.8135301792
3,44.9393129497
3,46.4244106781
3,47.111671892
3,47.111671892
3,45.7788513169
3,44.928702145
3,47.5607386558
3,46.5178746069
3,46.5178746069
3,47.5322221467
3,53.4128179644
3,56.148605788
3,98.926822867
3,98.926822867
2.9958206879,83.9669939136
2.9958206879,71.0998563369
2.9958206879,82.8381299747
2.9958206879,82.8381299747
2.9958206879,67.9625020109
2.9958206879,115.284482937
2.9920251902,71.0849271929
2.9920251902,71.0849271929
2.9912575614,42.6600415789
2.9912575614,64.3285997422
2.9912575614,64.1990893763
2.9912575614,55.1679595422
2.9912575614,68.0806244864
2.9912575614,53.5817325247
2.9875047101,53.5328927716
2.9875047101,50.7319978127
2.9875047101,73.8497508239
2.9875047101,44.250179628
2.9875047101,52.0732740919
2.9875047101,54.8981767018
2.9838797963,44.6736063755
2.9838797963,65.6700107639
2.9838797963,65.6700107639
2.9838797963,50.4023472621
2.9838797963,53.4441261067
2.9838797963,53.4441261067
2.9799563618,50.3467063185
2.9799563618,52.2996985167
2.9799563618,50.8868850017
2.9799563618,64.4068798892
2.9799563618,51.5828657034
2.9799563618,56.5839916537
2.9756491193,68.4024692025
2.9756491193,50.8287615247
2.9756491193,40.6325514525
2.9756491193,54.2325892777
2.9756491193,54.2325892777
2.9756491193,46.7437093776
2.971597763,46.7437093776
2.971597763,45.5045378388
2.971597763,45.3471632907
2.971597763,50.4879062524
2.971597763,43.3694191066
2.971597763,46.0653824262
2.9675890645,44.5887671935
2.9675890645,56.4160504264
2.9675890645,56.4160504264
2.9675890645,43.9070722678
2.9675890645,47.3588594026
2.9675890645,48.4608934717
2.963793603,45.1240002383
2.963793603,44.1589790294
2.963793603,45.923870061
2.963793603,46.975387464
2.963793603,44.0082977475
2.963793603,43.1955078103
2.9598275757,40.6588235344
2.9598275757,53.2088599756
2.9598275757,42.8497345491
2.9598275757,43.2668992105
2.9598275757,47.3177212357
2.9598275757,47.3177212357
2.9559468395,52.7427146702
2.9559468395,52.7427146702
