distance,soundIntensity
15,73.3828071451
15,73.3828071451
15,73.8457385815
15,71.7259686039
15,78.8329743649
15,78.8329743649
15,68.2905662097
15,68.2059096947
15,65.8390090717
15,75.9034920691
15,66.6011836045
15,67.4149501693
15,67.5420305252
15,67.5420305252
15,70.7004411641
15,69.9204782952
15,69.9204782952
15,63.1745798521
15,63.1745798521
15,70.771668629
14.9989764949,79.5699843372
14.9989764949,109.33452964
14.9989764949,105.572506037
14.9989764949,80.9352395136
14.9989764949,91.5809335633
14.9989764949,93.9934085564
14.994242784,78.3427174343
14.994242784,138.120668849
14.994242784,90.7039858057
14.994242784,72.6439852234
14.994242784,154.9474818
14.9911722693,144.999113219
14.9911722693,195.945861846
14.9911722693,98.3046443854
14.9911722693,81.0105636422
14.9899355498,115.382852088
14.9899355498,117.00803973
14.9899355498,99.5331799494
14.9899355498,87.4695152657
14.9863107077,74.0576184819
14.9863107077,92.8715443352
14.9863107077,105.557278777
14.9863107077,105.557278777
14.9852445866,105.557278777
14.9852445866,80.2916369757
14.9852445866,91.956148215
14.9852445866,66.8290520377
14.9815345057,66.8290520377
14.9815345057,83.6113939944
14.9815345057,67.5421817607
14.9815345057,68.6287646201
14.9802551712,76.5198628986
14.9802551712,80.7218284791
14.9802551712,71.3371112702
14.9802551712,71.6159909437
14.9766730242,66.4822925429
14.9766730242,79.3995075747
14.9766730242,79.3995075747
14.9766730242,79.3995075747
14.9753936757,64.5669829726
14.9753936757,57.182551293
14.9753936757,72.7967619205
14.9753936757,70.4172361763
14.9711718205,70.1050957347
14.9711718205,70.2032756241
14.9711718205,75.8683885039
14.9711718205,81.8272248363
14.9697645354,74.1299052577
14.9697645354,70.149785772
14.9697645354,75.8656693524
14.9697645354,62.2276079755
14.9658838403,73.017512521
14.9658838403,73.017512521
14.9658838403,67.9940655481
14.9658838403,63.1124794412
14.9658838403,79.350904831
14.9658838403,70.337388706
14.9618325753,70.337388706
14.9618325753,70.9174131387
14.9618325753,75.5613678432
14.9618325753,66.3700485786
14.9605532253,70.7027032959
14.9605532253,69.1905959336
14.9605532253,70.8055014206
14.9605532253,69.0968244663
14.9568004653,69.0968244663
14.9568004653,67.4515802322
14.9568004653,67.4515802322
14.9568004653,69.5277850582
14.9554784753,69.1594923411
14.9554784753,68.2079218232
14.9554784753,78.780883278
14.9554784753,70.958161531
14.9554784753,70.958161531
14.951469866,78.6209777074
14.951469866,72.5607846525
14.951469866,70.3493683646
14.951469866,70.3493683646
14.951469866,67.2605471641
14.951469866,66.7387746121
14.9475891858,72.2781636447
14.9475891858,67.1840258959
14.9475891858,73.5574586883
14.9475891858,71.1576401966
14.9475891858,71.1576401966
14.9434526314,69.8518032233
14.9434526314,65.1977603058
14.9434526314,85.0327562736
14.9434526314,74.6042626291
14.9434526314,73.0020813916
14.9434526314,73.9104360213
14.939443992,73.9104360213
14.939443992,71.4987430844
14.939443992,71.3921741481
14.939443992,69.0238294758
14.9380793428,75.1139691765
14.9380793428,75.1139691765
14.9380793428,72.1188194585
14.9380793428,66.4171360357
14.9366294016,69.8078199042
14.9366294016,82.8000865858
14.9366294016,69.0875913588
14.9366294016,73.9333257023
14.932620729,72.834714307
14.932620729,72.834714307
14.932620729,75.9804792874
14.932620729,71.5008929786
14.9285267547,79.784149212
14.9285267547,67.9905781303
14.9285267547,64.2877831636
14.9285267547,64.2877831636
14.9285267547,76.4259637504
14.9285267547,77.0387858703
14.9243048511,66.2017899885
14.9243048511,70.9005746876
14.9243048511,63.0398758395
14.9243048511,72.7933611629
14.9243048511,77.3928983119
14.9243048511,78.6528155658
14.9203388073,82.5032271223
14.9203388073,75.7268779061
14.9203388073,73.7937673367
14.9203388073,66.616628109
14.9189314974,66.616628109
14.9189314974,76.3016209255
14.9189314974,76.3016209255
14.9189314974,74.3066844561
14.9189314974,66.689135508
14.9147095653,66.689135508
14.9147095653,68.6715391562
14.9147095653,73.0285933132
14.9147095653,73.1480823603
14.9147095653,62.1431268719
14.9147095653,62.1431268719
14.9106155657,69.7626245639
14.9106155657,89.7222954991
14.9106155657,65.8152965339
14.9106155657,67.3343664639
14.9106155657,67.3343664639
14.9106155657,82.9832780033
14.9062656865,73.1184820949
14.9062656865,72.4200945269
14.9062656865,71.7075819642
14.9062656865,73.10848072
14.9062656865,68.632269664
14.9062656865,61.6649057712
14.902043745,73.594956269
14.902043745,76.6399498459
14.902043745,76.6399498459
14.902043745,74.4360524056
14.9006790778,78.9279695482
14.9006790778,74.3292474742
14.9006790778,73.1401550707
14.9006790778,74.052921857
14.8978218043,68.9117332005
14.8978218043,68.6131286272
14.8978218043,76.3929040617
14.8978218043,78.2226475656
14.8937277933,69.9362981575
14.8937277933,69.9362981575
14.8937277933,80.7462112594
14.8937277933,60.6124408889
14.8937277933,67.6953781381
14.8893779084,73.733753642
14.8893779084,63.6242396542
14.8893779084,64.2474415056
14.8893779084,77.1074215575
14.8893779084,69.1617568428
14.8893779084,70.9630015719
14.8851986027,67.9867389407
14.8851986027,66.2588106419
14.8851986027,71.1083642088
14.8851986027,78.0390799337
14.8851986027,65.966653547
14.8851986027,65.966653547
14.8808487096,74.8497198969
14.8808487096,64.5625817992
14.8808487096,70.6297703542
14.8808487096,70.6297703542
14.8808487096,67.7827963324
14.8808487096,68.0189035426
14.8763708808,80.0571958965
14.8763708808,63.0715977735
14.8763708808,66.9677305711
14.8763708808,73.2756790883
14.8763708808,61.1139904768
14.8749635614,61.1139904768
14.8749635614,74.2995837779
14.8749635614,65.1390606876
14.8749635614,66.3829443493
14.870528373,67.747940852
14.870528373,71.0878452597
14.870528373,68.479816806
14.870528373,77.5731100747
14.870528373,76.1223516735
14.870528373,66.7206113087
14.8662637686,64.1130587042
14.8662637686,73.7132638638
14.8662637686,73.7132638638
14.8662637686,75.9632296764
14.8662637686,71.5008208913
14.8662637686,61.6167347702
14.8619565186,61.6167347702
14.8619565186,69.7298471437
14.8619565186,69.7298471437
14.8619565186,70.5836664379
14.8619565186,74.0291360716
